location,company,title,salary,city,index
Remote,"Resolute Management, Inc.",Quantitative Analyst,"$50,000 - $60,000 a year",Remote,0
Remote,Aldi,Data Analytics Specialist,"$62,000 a year",Remote,1
Remote,First Notch Technology,Data Analyst with sql,$22 an hour,Remote,2
Remote,Aldi,Data Analytics Associate II,$26.25 an hour,Remote,3
Remote,Private,Data Analyst,$13 an hour,Remote,4
Remote,Integrated Services of Kalamazoo,Data Analyst,Unknown,Remote,5
"Detroit, MI 48202 (New Center area)",DPSCD,"Program Associate I, Data Analyst",$64.50 an hour,Detroit,6
"Livonia, MI 48152",AccumTech,Data Analyst,"$55,000 - $85,000 a year",Livonia,7
"Detroit, MI",VROOM,Data Analyst,Unknown,Detroit,8
"Detroit, MI 48216 (Briggs area)",MICHIGAN CONFERENCE OF TEAMSTERS WELFARE FUND,Claims Data Analyst Healthcare,$18 - $22 an hour,Detroit,9
"Newport Beach, CA",Lyceum Dynamics,Data Analyst,$40 - $50 an hour,Newport Beach,10
"Orlando, FL 32801 (Central Business District area)",Change Everything Inc.,Data Analyst Intern,Unknown,Orlando,11
"Bloomfield Hills, MI 48302",Common Ground,Data Analyst - Full-Time (Non-Exempt),Unknown,Bloomfield Hills,12
"Detroit, MI",General Motors,Data Analyst for Enterprise Integration Intern,Unknown,Detroit,13
"Bellevue, WA",Streams Inc,Data Analyst,Unknown,Bellevue,14
"Detroit, MI 48226 (Downtown area)",Quicken Loans,Data Solutions Analyst,Unknown,Detroit,15
Remote,"Michigan Planners, Inc.",Employee Benefits Plan Analyst,Unknown,Remote,16
Remote,Maschmeyer Concrete Company of Florida,Data Analyst,Unknown,Remote,17
Remote,JND Legal Administration,Data Analyst,"$60,000 - $80,000 a year",Remote,18
Remote,Starr and Associates,Data Analyst,"$80,000 - $106,242 a year",Remote,19
Remote,"Deacom, Inc.",Data Specialist,"$60,000 - $95,000 a year",Remote,20
Remote,"Decision Information Resources, Inc",Senior Data Analyst,"$80,000 - $115,000 a year",Remote,21
Remote,Christie Campus Health,Data Research Analyst,$23 - $28 an hour,Remote,22
Remote,"Prime MSO, LLC.",Jr. Data Analyst (Jr. DA),"$38,000 - $60,000 a year",Remote,23
Remote,Qi Venture Partners,Research & Data Analyst,"$50,000 - $65,000 a year",Remote,24
Remote,County of Washington,Data Analyst II,$17.88 an hour,Remote,25
Remote,Amida Technology Solutions,Data Analyst,Unknown,Remote,26
Remote,Wellview Health,Business Intelligence Analyst,"$65,000 - $90,000 a year",Remote,27
Remote,Team Velocity,Mid-Level Data Analyst,Unknown,Remote,28
Remote,Columbia Marking Tools,Customer Service/Data Entry,$14 - $15 an hour,Remote,29
Remote,"Asset Protection Unit, Inc.",Overpayment Data Analyst/Programmer,"$70,000 - $100,000 a year",Remote,30
Remote,Liberty Mutual Insurance,Principal Data Analyst,"$110,900 - $143,500 a year",Remote,31
Remote,"Edge Pharma, LLC.",QC Microbiology Analyst,Unknown,Remote,32
Remote,Delta Research Inc,Tactical Data Link Analyst,Unknown,Remote,33
Remote,CNS Healthcare,Business Analyst,Unknown,Remote,34
Remote,Brook Valley Management,Retail Data Analyst,"$60,000 - $75,000 a year",Remote,35
Remote,Auxilior Capital Partners,Senior Credit Analyst,"$65,000 - $75,000 a year",Remote,36
Remote,Stevens Engineers and Constructors,Project Controls Analyst,Unknown,Remote,37
Remote,Dow Jones,"Data Engineer, Newsroom Data Products",Unknown,Remote,38
Remote,Backer-Springfield (Backer EHP Inc.),Network Analyst,Unknown,Remote,39
Remote,Amfuel,Cost/Schedule Analyst,"$50,000 a year",Remote,40
Remote,Alliant Energy,Senior Data Warehouse/Data Modeling Analyst,Unknown,Remote,41
Remote,"Paulson Investment Company, LLC",Investment Banking Analyst (Life Science),"$40,000 - $90,000 a year",Remote,42
Remote,Comerica Bank,Technical Data Analytics Principal Engineer,Unknown,Remote,43
Remote,Mid-Delta Durable Medical Equipment,DME Billing Analyst,Unknown,Remote,44
Remote,"Suracy Insurance Agency, Inc.",Senior Data Analyst,Unknown,Remote,45
Remote,InterVarsity Christian Fellowship,Data Quality Analyst,"$43,000 - $58,000 a year",Remote,46
Remote,Collection Experts Inc,Data Analyst/Helpdesk,Unknown,Remote,47
Remote,Bath Community Hospital,Revenue Integrity Analyst,Unknown,Remote,48
Remote,DTSV,Data Analyst,Unknown,Remote,49
Remote,Soaren Management,Data Scientist,Unknown,Remote,50
Remote,SubjectWell,Data Scientist,Unknown,Remote,51
Remote,Global Fishing Watch,Data Scientist,$45 - $65 an hour,Remote,52
"Lansing, MI 48917",Pearson,Data Scientist,Unknown,Lansing,53
Remote,Amida Technology Solutions,Data Scientist,Unknown,Remote,54
Remote,Brinks Home Securityâ„¢,Data Scientist,"$90,000 - $98,000 a year",Remote,55
Remote,Blue Owl,Data Scientist,"$250,000 - $375,000 a year",Remote,56
"Ypsilanti, MI 48198 (Depot Town area)",Methods Consultants,Assistant Data Scientist,Unknown,Ypsilanti,57
Remote,Pathrise,Data Scientist Entry Level - Pathrise Recruiting Partners,Unknown,Remote,58
Remote,Pathrise,Junior Data Scientist - Pathrise Recruiting Partners,Unknown,Remote,59
"Bloomington, IN",DataSprouts,Junior Data Scientist,Unknown,Bloomington,60
"Austin, TX 78712 (University of Texas area)",University of Texas at Austin,Remote Sensing Data Scientist,Unknown,Austin,61
"Alpharetta, GA",Quest America,Data Scientist,$65 - $70 an hour,Alpharetta,62
"Dearborn, MI",Ford Motor Company,Data Scientist,Unknown,Dearborn,63
"Chicago, IL",Cloudbigdata Technologies,Entry level Data Scientist,Unknown,Chicago,64
Remote,"Curative Inc,",Sr. Data Scientist,Unknown,Remote,65
Remote,Lyteworx Automation Systems,Data Scientist,"$160,000 - $175,000 a year",Remote,66
Remote,HP,Data Scientist (Sales and Marketing),Unknown,Remote,67
Remote,Intuit,Staff Data Scientist,Unknown,Remote,68
Remote,Specific Diagnostics,"Data Scientist, Medical Diagnostics",Unknown,Remote,69
Remote,Intuit,Staff Data Scientist - Analytics,Unknown,Remote,70
"Alvin, TX","RiceTec, Inc.",Data Scientist - Production Research,Unknown,Alvin,71
Remote,Northrop Grumman,Data Scientist,Unknown,Remote,72
Remote,"Skafos, LLC",Machine Learning Engineer,Unknown,Remote,73
Remote,SullivanCotter,Data Scientist Architect,Unknown,Remote,74
Remote,National Geospatial-Intelligence Agency,Data Scientist (Mid-Level),"$64,948 - $133,465 a year",Remote,75
Remote,Aegis Premier Technologies,Data Scientist / Predictive Analytics Professional,Unknown,Remote,76
Remote,Intuit,Senior Data Scientist,Unknown,Remote,77
Remote,"ENSCO, Inc.",Data Scientist,Unknown,Remote,78
Remote,Johns Hopkins Applied Physics Laboratory (APL),Data Scientist,Unknown,Remote,79
Remote,Blackwatch International Corporation,Data Scientist,Unknown,Remote,80
Remote,GEICO,Senior Data Scientist,Unknown,Remote,81
Remote,Perspecta Labs,Machine Learning Research Scientist,Unknown,Remote,82
"Oakland, CA",Global Fishing Watch,Data Scientist,$45 - $65 an hour,Oakland,83
"Redmond, WA",Microsoft,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Unknown,Redmond,84
"Denver, CO 80202 (Union Station area)",McKinsey & Company,"Data Scientist, Agriculture and Commodities",Unknown,Denver,85
"Washington, DC 20006 (Downtown area)",FARMER MAC,Data Scientist,Unknown,Washington,86
Remote,GeneDx,Senior Genomic Data Scientist,Unknown,Remote,87
Remote,Northrop Grumman,Sr. Principal Data Scientist,Unknown,Remote,88
Remote,Humana,Lead Data Scientist,Unknown,Remote,89
Remote,PayPal,Data Scientist,Unknown,Remote,90
